timestamp,drug_name,pharmacy_id,quantity_sold,location
2026-01-05T12:14:21.699309,DermaSoothe,PH-267,1,Mcgeemouth
2026-01-05T12:14:23.203619,GastroCalm,PH-807,3,Lake Brandon
2026-01-05T12:14:26.207896,GastroCalm,PH-439,2,Katherineland
2026-01-05T12:14:29.217095,NurofenPlus,PH-589,2,Chadburgh
2026-01-05T12:14:30.725877,NurofenPlus,PH-339,3,New Brianmouth
2026-01-05T12:14:33.734011,DermaSoothe,PH-551,4,Port Brooke
2026-01-05T12:14:35.237819,CardioZest,PH-240,4,New Patrickhaven
2026-01-05T12:14:36.740598,GastroCalm,PH-716,4,Angelafort
2026-01-05T12:14:38.247190,NurofenPlus,PH-401,3,Welchfort
2026-01-05T12:14:41.251064,GastroCalm,PH-597,2,West Richard
2026-01-05T12:14:42.754130,GastroCalm,PH-721,1,New Virginiaborough
2026-01-05T12:14:47.263529,ImmunoBoost,PH-960,5,North Carolyn
2026-01-05T12:14:48.767122,GastroCalm,PH-460,1,Julieville
2026-01-05T12:14:50.269603,GastroCalm,PH-677,4,Lake Amanda
2026-01-05T12:14:53.271386,NurofenPlus,PH-580,4,New Garyborough
2026-01-05T12:14:54.775227,NurofenPlus,PH-906,1,Port Sean
2026-01-05T12:14:56.279149,GastroCalm,PH-881,2,West Rachelside
2026-01-05T12:14:57.780829,GastroCalm,PH-757,1,Port Stephanie
2026-01-05T12:14:59.283125,GastroCalm,PH-316,3,East Michael
2026-01-05T12:15:00.787587,DermaSoothe,PH-867,4,New Tammymouth
2026-01-05T12:15:06.802552,DermaSoothe,PH-362,1,Michaelview
2026-01-05T12:15:11.310279,ImmunoBoost,PH-820,5,West Lisa
2026-01-05T12:15:17.317981,DermaSoothe,PH-353,3,Brookeberg
2026-01-05T12:15:21.821779,NurofenPlus,PH-819,1,Cruzside
2026-01-05T12:15:23.323942,DermaSoothe,PH-831,3,South Heidifurt
2026-01-05T12:15:24.827017,CardioZest,PH-437,3,Stephaniemouth
2026-01-05T12:15:26.331307,CardioZest,PH-446,2,South Matthew
2026-01-05T12:15:32.338884,NurofenPlus,PH-690,3,West Rhonda
2026-01-05T12:15:36.848145,NurofenPlus,PH-703,2,Smithport
2026-01-05T12:15:39.851276,DermaSoothe,PH-949,5,Port Rebeccahaven
2026-01-05T12:15:41.356656,CardioZest,PH-197,2,New Kathrynland
2026-01-05T12:15:42.861432,DermaSoothe,PH-579,3,Gardnerland
2026-01-05T12:15:51.875031,ImmunoBoost,PH-578,5,Rodriguezhaven
2026-01-05T12:15:57.901020,NurofenPlus,PH-743,2,Lake Diana
2026-01-05T12:15:59.410755,CardioZest,PH-982,3,Lake Ericatown
2026-01-05T12:16:00.915329,NurofenPlus,PH-746,1,South Lucas
2026-01-05T12:16:05.421955,ImmunoBoost,PH-122,4,Harrismouth
2026-01-05T12:16:06.926018,ImmunoBoost,PH-321,2,Duarteburgh
2026-01-05T12:16:08.429134,GastroCalm,PH-241,1,Curtisport
2026-01-05T12:16:09.935159,GastroCalm,PH-560,3,Johnsonland
2026-01-05T12:16:11.441264,NurofenPlus,PH-490,4,Patrickburgh
2026-01-05T12:16:15.945250,GastroCalm,PH-367,5,Thomaschester
2026-01-05T12:16:17.447136,CardioZest,PH-179,4,Pedroshire
2026-01-05T12:16:18.949117,ImmunoBoost,PH-107,4,Greenmouth
2026-01-05T12:16:20.450179,CardioZest,PH-726,5,North Brian
2026-01-05T12:16:21.952590,DermaSoothe,PH-961,1,New Steve
2026-01-05T12:16:23.454141,CardioZest,PH-963,1,North Travisborough
2026-01-05T12:16:26.457807,NurofenPlus,PH-906,1,Christopherbury
2026-01-05T12:16:33.962177,NurofenPlus,PH-291,2,South William
2026-01-05T12:16:36.964904,NurofenPlus,PH-903,4,South Monica
2026-01-05T12:16:38.466485,NurofenPlus,PH-969,4,New Anthony
2026-01-05T12:16:41.469523,CardioZest,PH-550,5,West Michelle
2026-01-05T12:16:42.971074,GastroCalm,PH-468,2,East Matthew
2026-01-05T12:16:44.474964,DermaSoothe,PH-225,3,New Traceystad
2026-01-05T12:16:45.976658,ImmunoBoost,PH-843,4,North Sheriland
2026-01-05T12:16:47.477969,ImmunoBoost,PH-709,4,Moranville
2026-01-05T12:16:50.480198,ImmunoBoost,PH-174,5,Karastad
2026-01-05T12:16:51.980866,DermaSoothe,PH-922,5,Lake William
2026-01-05T12:16:56.483745,CardioZest,PH-970,1,North Michael
2026-01-05T12:17:00.987918,CardioZest,PH-880,1,Evanstown
2026-01-05T12:17:02.488778,DermaSoothe,PH-522,1,Port Michael
